#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
       19600       1.709167e-03       2.027960e-04       9.954140e-04       5.633144e-02       7.187832e-03       2.067631e-02
       19700       3.627128e-03       2.546294e-04       1.901735e-03       1.400199e-01       4.858983e-03       2.125707e-02
       19800       3.157795e-03       2.691915e-04       1.587134e-03       8.446873e-02       7.213189e-03       2.221825e-02
       19900       2.841273e-03       4.727505e-04       1.513025e-03       1.006650e-01       5.408470e-03       1.918922e-02
       20000       2.567539e-03       5.761450e-04       1.584736e-03       4.911356e-02       5.208438e-03       1.811600e-02
       20100       3.154974e-03       3.780109e-04       1.697165e-03       5.818586e-02       8.409461e-03       2.064347e-02
       20200       2.889233e-03       3.441564e-04       1.657650e-03       8.321137e-02       5.389285e-03       1.982679e-02
       20300       4.309992e-03       5.053029e-04       2.324973e-03       5.837602e-02       5.479510e-03       1.943094e-02
       20400       3.730282e-03       3.264658e-04       2.062398e-03       1.051961e-01       7.046026e-03       2.072290e-02
       20500       4.184315e-03       3.286537e-04       2.190807e-03       8.292911e-02       4.601183e-03       2.215613e-02
       20600       3.600717e-03       6.649492e-05       1.689933e-03       7.130105e-02       5.176583e-03       2.329152e-02
       20700       3.429772e-03       2.562530e-04       1.859163e-03       7.036331e-02       7.365056e-03       2.319492e-02
       20800       2.837485e-03       5.056287e-04       1.554652e-03       9.719744e-02       7.228053e-03       2.350372e-02
       20900       3.380796e-03       1.911614e-04       1.926748e-03       5.823706e-02       5.904751e-03       2.359485e-02
       21000       3.695544e-03       2.479786e-04       1.745703e-03       1.094373e-01       8.662782e-03       2.473491e-02
       21100       3.353164e-03       3.307650e-04       1.841314e-03       6.066849e-02       5.829164e-03       2.231607e-02
       21200       3.122881e-03       1.923598e-04       1.622512e-03       6.583135e-02       7.250496e-03       2.328810e-02
       21300       3.416291e-03       7.265188e-05       1.795016e-03       1.338541e-01       6.313008e-03       2.391941e-02
       21400       4.011480e-03       4.350791e-04       2.217002e-03       7.478922e-02       8.345122e-03       2.420242e-02
       21500       3.626952e-03       2.456425e-04       1.743688e-03       8.701572e-02       8.871681e-03       2.603794e-02
       21600       3.336811e-03       1.003357e-04       1.921837e-03       6.464992e-02       7.113128e-03       2.542676e-02
       21700       2.973762e-03       4.522839e-04       1.741275e-03       6.667306e-02       1.005979e-02       2.611705e-02
       21800       3.711860e-03       7.267595e-04       1.924930e-03       8.632017e-02       6.700475e-03       2.601399e-02
       21900       3.576373e-03       7.303554e-04       2.119493e-03       1.101784e-01       8.106923e-03       2.988066e-02
       22000       3.677080e-03       4.656573e-04       1.990835e-03       8.681590e-02       6.751985e-03       2.802157e-02
       22100       4.350837e-03       5.726408e-04       2.261182e-03       1.125473e-01       7.679334e-03       2.780926e-02
       22200       2.622531e-03       8.233324e-04       1.632017e-03       9.599197e-02       6.961280e-03       2.640474e-02
       22300       4.093184e-03       3.699854e-04       2.282711e-03       9.115532e-02       7.895810e-03       2.656812e-02
       22400       4.351446e-03       4.183362e-04       2.223821e-03       6.440455e-02       7.421824e-03       2.614447e-02
       22500       3.503610e-03       4.010595e-04       1.917765e-03       7.459836e-02       9.180035e-03       2.786836e-02
       22600       3.818201e-03       3.185967e-04       2.050646e-03       8.027398e-02       7.956259e-03       2.457089e-02
       22700       3.300275e-03       5.441141e-04       1.706790e-03       9.853466e-02       7.819318e-03       2.627735e-02
       22800       3.173243e-03       4.758263e-04       1.730269e-03       9.021620e-02       8.198657e-03       2.733961e-02
       22900       3.487130e-03       4.842216e-04       2.106524e-03       8.882890e-02       6.951775e-03       2.870028e-02
       23000       3.901567e-03       4.582619e-04       2.214609e-03       9.806131e-02       7.079134e-03       2.753241e-02
       23100       3.936718e-03       4.063539e-04       2.299264e-03       1.078557e-01       8.364173e-03       2.778084e-02
       23200       3.841437e-03       5.080753e-04       2.198538e-03       8.457360e-02       9.682929e-03       2.734415e-02
       23300       4.128869e-03       4.732434e-04       2.370118e-03       1.018608e-01       8.063256e-03       2.625562e-02
       23400       4.513440e-03       1.557100e-04       2.287278e-03       1.122225e-01       5.274478e-03       2.590088e-02
       23500       3.428731e-03       4.019132e-04       1.940224e-03       1.023957e-01       7.237796e-03       2.869642e-02
       23600       3.141532e-03       5.565547e-04       1.822566e-03       8.419841e-02       7.507917e-03       2.612026e-02
       23700       3.975619e-03       7.574059e-04       2.214615e-03       1.201714e-01       8.237767e-03       2.774407e-02
       23800       4.938446e-03       5.206735e-04       2.788685e-03       8.947041e-02       7.848744e-03       2.717983e-02
       23900       4.435155e-03       5.676640e-04       2.381426e-03       8.965251e-02       7.177983e-03       2.797776e-02
       24000       4.812189e-03       5.152874e-04       2.473984e-03       8.181713e-02       5.911297e-03       2.804111e-02
       24100       5.412444e-03       7.465129e-04       2.785305e-03       8.983616e-02       7.315042e-03       2.809054e-02
       24200       4.562684e-03       9.475975e-04       2.656608e-03       9.995786e-02       7.393978e-03       3.169773e-02
       24300       4.541448e-03       4.030912e-04       2.592792e-03       9.471200e-02       6.968503e-03       3.327241e-02
       24400       4.312533e-03       3.828195e-04       2.159080e-03       7.786568e-02       9.368550e-03       2.953031e-02
       24500       4.308803e-03       3.537123e-04       2.206643e-03       9.016526e-02       7.359501e-03       3.048305e-02
       24600       5.617585e-03       4.292796e-04       2.409510e-03       1.092044e-01       8.974221e-03       2.996296e-02
       24700       4.629368e-03       2.091491e-04       2.240506e-03       1.187047e-01       8.880465e-03       2.972325e-02
       24800       3.465513e-03       7.518061e-04       1.993744e-03       7.560782e-02       8.825944e-03       2.921374e-02
       24900       3.948983e-03       2.760566e-04       2.169253e-03       9.827179e-02       7.234627e-03       2.881371e-02
       25000       4.199243e-03       3.586217e-04       2.366625e-03       1.035416e-01       6.687587e-03       2.809777e-02
       25100       4.123756e-03       5.948747e-04       2.227449e-03       7.941417e-02       7.995366e-03       2.904248e-02
       25200       4.700268e-03       8.632609e-04       2.182190e-03       9.377876e-02       8.245447e-03       2.932043e-02
       25300       4.180732e-03       5.465850e-04       2.393365e-03       1.295431e-01       9.383771e-03       3.025232e-02
       25400       4.176847e-03       1.811113e-04       2.312732e-03       8.253922e-02       5.139310e-03       2.708643e-02
       25500       4.220776e-03       3.186438e-04       2.367134e-03       8.272278e-02       1.145093e-02       2.966478e-02
       25600       4.308043e-03       7.016987e-04       2.616695e-03       8.671422e-02       7.821407e-03       2.918896e-02
       25700       5.504971e-03       3.545424e-04       2.883519e-03       8.804137e-02       8.263769e-03       2.946226e-02
       25800       5.520254e-03       2.946670e-04       2.846650e-03       8.141153e-02       8.721892e-03       2.955792e-02
       25900       5.069762e-03       6.782500e-04       3.021690e-03       9.562316e-02       7.851634e-03       3.181672e-02
       26000       5.180403e-03       6.020900e-04       2.681489e-03       9.402487e-02       5.462196e-03       3.387876e-02
       26100       5.121949e-03       4.472294e-04       2.361893e-03       9.769071e-02       7.747982e-03       3.234096e-02
       26200       4.741957e-03       6.908020e-04       2.341211e-03       7.571988e-02       9.841693e-03       3.202505e-02
       26300       5.312073e-03       1.130744e-04       2.590423e-03       8.604909e-02       8.742034e-03       2.988066e-02
